M,R
1.266,0.0017715691478631175
2.316,0.01087887869210876
2.997,0.02364458455635893
3.531,0.03878440907481029
3.979,0.05566288734504012
4.367,0.07380173601965999
4.712,0.09298037153584371
5.022,0.11289042576752056
5.304,0.13337673680108844
5.563,0.15432219277690054
5.803,0.17566131747853195
6.025,0.19715315049228693
6.232,0.21878658268166834
6.426,0.2405227012180494
6.609,0.2623746425833064
6.781,0.2841652933682767
6.943,0.3058451541780795
7.097,0.3275219238503186
7.242,0.3489381565416746
7.381,0.370386726388273
7.513,0.3916346712263344
7.638,0.4125824417078617
7.758,0.4334474840557609
7.872,0.4540007218528114
7.982,0.47449583620087993
8.087,0.494710587248314
8.187,0.514581561419647
8.283,0.5342264026286778
8.376,0.5537805159474325
8.465,0.5730211579748689
8.55,0.5919020596025639
8.632,0.6105731091417762
8.711,0.6290012957050063
8.788,0.6473563100084742
8.861,0.6652059702193748
8.932,0.6829267226081099
9.0,0.7002863365324009
9.066,0.717470458243975
9.13,0.7344596850511517
9.192,0.7512349990809781
9.251,0.7675538945464941
9.309,0.7838431555872108
9.365,0.7998640296395648
9.419,0.8155992217446971
9.471,0.8310319049271888
9.522,0.8463828865538547
9.571,0.8614040146943737
9.618,0.8760796887899351
9.664,0.890639105293867
9.709,0.9050744037486114
9.752,0.9191290644542289
9.794,0.9330399703840885
9.835,0.9467998236407595
9.875,0.9604014750542437
9.913,0.9735808457877556
9.951,0.9868432887780499
9.987,0.9996661163919698
10.023,1.0125627833621116
10.057,1.0250033138312737
10.09,1.0372425630430369
10.123,1.049542657302456
10.154,1.0613634208278717
10.185,1.0732369417594994
10.215,1.0848896176426293
10.244,1.0963160485857542
10.272,1.1075109978491933
10.3,1.1187468883389358
10.327,1.129744184299511
10.353,1.140498003232449
10.378,1.1510036251219677
10.403,1.1615395690703025
10.427,1.1718209470930447
10.451,1.182129079159361
10.474,1.1921765487131977
10.496,1.2019591766605435
10.518,1.2117623053889108
10.539,1.2212949983421488
10.559,1.2305534215558145
10.58,1.2401194330641205
10.599,1.2491143572510777
10.618,1.2581212839254412
10.637,1.2671399197806894
10.655,1.275872973245723
10.673,1.2846151218987445
10.69,1.2930671460663952
10.707,1.301525807676177
10.724,1.3099908705916743
10.74,1.3181603536232347
10.756,1.32633395277929
10.771,1.3342079695587301
10.786,1.3420839676283776
10.8,1.3496566253999842
10.815,1.3575352143810933
10.829,1.3651084932087885
10.842,1.3723739376074078
10.855,1.3796373853917676
10.868,1.386898706434831
10.881,1.3941577716767337
10.893,1.4011040422850978
10.905,1.4080464027992488
10.917,1.4149847486086322
10.928,1.4216065626125594
10.94,1.4285359052468822
10.95,1.4348335528516185
10.961,1.4414385670992496
10.972,1.448037820925433
10.982,1.4543157476114983
10.992,1.4605865838603145
11.001,1.4665336750494589
11.011,1.4727895973459828
11.02,1.4787205824635778
11.029,1.4846431892086573
11.038,1.4905573804215924
11.046,1.4961439277320607
11.055,1.5020406772612225
11.063,1.5076087480964693
11.071,1.5131673141152286
11.079,1.5187163578433391
11.086,1.523934358403077
11.094,1.5294638607948476
11.101,1.5346614331763224
