M,R
14.858,0.21452021763970835
22.712,0.8825345874022757
25.337,1.351856934253533
26.59,1.686002478143156
27.27,1.9355656084661144
27.66,2.1295036700515726
27.886,2.2850243622188757
28.013,2.4129658442049644
28.075,2.5201242892197095
28.095,2.611515569899372
28.086,2.690557106100676
28.057,2.7598117073436095
28.014,2.821069158933062
27.961,2.875789141061264
27.901,2.9251083640826816
27.835,2.969668823750829
27.767,3.0106000738951995
27.696,3.0480733799836743
27.623,3.082651959946555
27.55,3.114821590040661
27.476,3.144753622372616
27.403,3.172873249142781
27.329,3.1991334611795956
27.257,3.224077025361538
27.184,3.247430467558247
27.113,3.2697407388105453
27.042,3.2908052456429595
26.973,3.3110269212955314
26.904,3.3301878517410883
26.836,3.3485062051822325
26.77,3.366181795976354
26.704,3.382987055198325
26.639,3.399129686617175
26.576,3.414770419871584
26.513,3.429690100623763
26.452,3.4442051396341213
26.391,3.4580786074002234
26.332,3.4715992121016006
26.273,3.4845473906495936
26.216,3.4971900233548867
26.159,3.5093092705717654
26.103,3.521057327547997
26.048,3.5324463191953734
25.994,3.5435013011625576
25.941,3.554241734650275
25.889,3.564677836135108
25.837,3.5747070597566992
25.787,3.5845903067084546
25.737,3.5940934268209896
25.688,3.6033522755879086
25.639,3.612263237552484
25.591,3.6209549454912953
25.544,3.629437130717056
25.498,3.63772460080875
25.453,3.6458248491730307
25.408,3.653627063723649
25.363,3.6611436072799473
25.319,3.6685002092691903
25.276,3.675702692601428
25.234,3.682759476843486
25.192,3.689564040844713
25.151,3.696238170556473
25.11,3.7026722358024715
25.069,3.708874938312589
25.03,3.7150811988022645
24.99,3.720952760321975
24.952,3.7268382277777574
24.913,3.7324038329722553
24.876,3.7379943471643413
24.838,3.7432751594566342
24.801,3.748477903328811
24.765,3.7536070227685943
24.729,3.7585545164471754
24.694,3.7634361125679985
24.658,3.768034604257632
24.624,3.772687073538425
24.589,3.7770648653818104
24.555,3.781393053559901
24.522,3.785675880269097
24.489,3.7898069387107194
24.456,3.79378981021479
24.424,3.7977369657944546
24.391,3.8014345871937256
24.36,3.805211511330319
24.328,3.8087454303209896
24.297,3.8122558272467657
24.267,3.815745545867506
24.236,3.8190025467067765
24.206,3.8222442019403178
24.176,3.8253660293934852
24.147,3.8284775329073013
24.118,3.831474565132069
24.089,3.8343597077436242
24.06,3.837135531344691
24.032,3.8399102648883994
24.004,3.8425805868987877
23.976,3.845148823297234
23.948,3.8476172319455904
23.921,3.8500924978552593
23.894,3.852472001254356
23.867,3.8547578349857337
23.841,3.857055690517668
23.815,3.8592635783422184
23.789,3.861383671746568
23.763,3.8634178784941837
23.737,3.8653680427043535
23.712,3.8673385148668697
23.687,3.8692282050929396
23.662,3.871038861095251
23.637,3.872772155899177
23.613,3.874531397023309
23.588,3.8761146944872555
23.564,3.8777268561439517
23.541,3.8793687854127654
23.517,3.8808396522120807
23.493,3.882242165420756
23.47,3.8836782799278557
23.447,3.8850485462078708
23.424,3.88635431711821
23.402,3.8876967774781237
23.379,3.888877283873429
23.357,3.8900966104383916
23.335,3.8912561196892685
23.313,3.8923570137259786
23.291,3.893400466816514
23.269,3.8943876437542326
23.248,3.895418251496884
23.226,3.8962960948366265
23.205,3.897219184417796
23.184,3.8980900124434825
23.163,3.898909690263622
23.143,3.899776969234778
23.122,3.900497322755374
23.102,3.901266885567212
23.082,3.9019889302435113
23.062,3.902664333426848
23.042,3.9032939635598534
23.022,3.9038786954454254
23.002,3.904419386191678
22.983,3.9050132030428606
22.963,3.9054681768489865
22.944,3.905977621734251
22.925,3.906446004611197
22.906,3.9068741029683753
22.887,3.9072626752908968
22.869,3.9077078119503628
22.85,3.908019315751833
22.832,3.9083884764899546
22.813,3.908625718803391
22.795,3.908921694609267
22.777,3.909182013382963
22.759,3.9094073354471393
22.741,3.9095983048292453
22.724,3.9098497166045023
22.706,3.9099737179970635
22.689,3.9101590930236645
22.671,3.9102185681116213
22.654,3.910340326511793
22.637,3.9104310703279275
22.62,3.9104913619307546
22.603,3.9105217505167684
22.586,3.9105227576913015
22.569,3.9104948923561693
22.553,3.910531422399643
22.536,3.910447213148346
22.52,3.9104281286737796
22.504,3.910381899749941
22.487,3.910216773749552
22.471,3.910117770065186
22.455,3.909993000530452
22.439,3.9098429156140466
22.424,3.909759649810917
22.408,3.9095601161792386
22.392,3.9093365379576532
22.377,3.909180640037674
22.361,3.9089100889655355
22.346,3.908707779252663
22.331,3.9084827967303153
22.316,3.9082355482894657
22.3,3.9078757405201414
22.285,3.9075852458720415
22.271,3.907364069880414
22.256,3.9070315653218435
22.241,3.906678649383746
22.226,3.906305646771054
22.212,3.9060028664519604
22.197,3.9055905811943474
22.183,3.9052489452270533
22.169,3.9048883090090185
22.154,3.904419483580244
22.14,3.9040218705683656
22.126,3.903606143884201
22.112,3.9031726022141116
22.098,3.9027215389701566
22.084,3.9022532438929765
22.071,3.901856832149932
22.057,3.9013548167575007
22.043,3.900836408632179
22.03,3.900390383080901
22.016,3.8998398955989635
22.003,3.8993621039221296
21.99,3.89886876327601
21.976,3.8982720736036494
21.963,3.897748533929299
21.95,3.897210213586999
21.937,3.896657355689518
21.924,3.896090198572689
21.911,3.8955089759830615
21.898,3.8949138954574853
21.885,3.8943051709704615
21.873,3.8937702665297333
21.86,3.8931348080347283
21.848,3.892573389637836
21.835,3.8919120477995373
21.823,3.891324945201668
21.81,3.8906384918198462
21.798,3.8900264601831345
21.786,3.8894022027810444
21.773,3.8886794658285115
21.761,3.8880314339435027
21.749,3.887371746267173
21.737,3.8867005929401017
21.725,3.886018157167878
21.713,3.885324618527217
21.701,3.884620153800983
21.69,3.8839907232816704
21.678,3.883264834260375
21.666,3.882528531300795
21.655,3.881867491297658
21.643,3.881110772065419
21.631,3.8803441263873157
21.62,3.879652959686191
21.609,3.878951999608883
21.597,3.878156346531208
21.586,3.8774363365658435
21.575,3.8767069596350137
21.564,3.8759683585828193
21.552,3.8751359712154425
21.541,3.874379434290259
21.53,3.873614091520962
21.519,3.8728400760767867
21.508,3.872057515215889
21.498,3.871350814952624
21.487,3.8705514701280292
21.476,3.8697439650777907
21.465,3.868928424589843
21.455,3.868188912233443
21.444,3.867357598306213
21.433,3.866518625838408
21.423,3.8657558134106016
21.412,3.864901812772392
21.402,3.8641240453907137
21.392,3.863338929977685
21.381,3.8624632243036174
21.371,3.861663838762487
21.361,3.8608574271659437
21.35,3.8599609701718816
21.34,3.8591409034669817
21.33,3.8583141216110417
21.32,3.8574807261427266
21.31,3.8566408183144816
21.3,3.855794493967657
21.29,3.8549418434692133
21.28,3.8540829596236854
21.27,3.8532179353563802
21.261,3.852429291968312
21.251,3.851552188846622
21.241,3.850669217388028
21.231,3.849780467165355
21.222,3.848968163974235
21.212,3.8480680637246967
21.203,3.847244435148576
21.193,3.846333336257731
21.184,3.8454987319030227
21.174,3.844576972059138
21.165,3.843731728311217
21.156,3.842881244116258
21.146,3.8419440636190316
21.137,3.8410834106418585
21.128,3.840217748690386
21.118,3.8392658272402493
21.109,3.83839045023081
21.1,3.8375102891908783
21.091,3.836625415815575
21.082,3.835735896032521
21.073,3.834841796617524
21.064,3.8339431857364
21.055,3.8330401294666863
21.046,3.832132693955937
21.037,3.8312209446052696
21.029,3.8303855829043387
21.02,3.829465336922168
21.011,3.8285409707302662
21.002,3.827612547612094
20.994,3.8267604987355215
20.985,3.825824086806803
20.976,3.8248838013361475
20.968,3.82401987608078
20.959,3.823071963838739
20.951,3.8222003963299893
20.942,3.8212450921736973
20.934,3.820366119670123
20.925,3.8194036519601466
20.917,3.8185175026288607
20.909,3.817627812443432
20.9,3.816654988633907
20.892,3.815758455795852
20.884,3.814858543539135
20.875,3.813875834081535
20.867,3.8129693770828403
20.859,3.8120596874761263
20.851,3.8111468144328837
20.843,3.8102308063346295
20.835,3.8093117114760155
20.827,3.808389577582288
20.819,3.807464450998549
20.811,3.806536375490734
20.803,3.8056053969821084
20.795,3.8046715594269958
20.787,3.803734906655256
20.779,3.8027954816871548
20.771,3.8018533263022984
20.764,3.800987102043966
20.756,3.800039557291341
20.748,3.7990894116254537
20.74,3.7981367057138837
20.733,3.7972598718994632
20.725,3.7963021200836
20.718,3.7954201993763492
20.71,3.794457566820644
20.702,3.793492583272775
20.695,3.7926033868945073
20.687,3.7916337561762052
20.68,3.7907398674834276
20.672,3.7897657280469548
20.665,3.7888672889013226
20.658,3.787966594352932
20.65,3.786985927838105
20.643,3.78608089427947
20.636,3.7851737110240977
20.628,3.7841868232526545
20.621,3.783275503514525
20.614,3.782362133461496
20.607,3.781446746946148
20.599,3.7804520023152755
20.592,3.7795327369386937
20.585,3.7786115449965516
20.578,3.7776884564842232
20.571,3.7767635065395146
20.564,3.77583672683171
20.557,3.7749081494858814
20.55,3.773977805586794
20.543,3.773045725774551
20.536,3.7721119400870715
20.529,3.771176481935665
20.522,3.770239390072242
20.515,3.7693006888542864
20.508,3.7683604023106163
20.501,3.7674185554776694
20.495,3.7665517665693664
20.488,3.765606828203948
20.481,3.7646604039045632
20.474,3.7637125200371933
20.468,3.762839593615745
20.461,3.761888825823561
20.454,3.7609366728458204
20.447,3.759983157413952
20.441,3.7591045032681545
20.434,3.758148290855033
20.428,3.7572668817421944
20.421,3.7563080637958723
20.415,3.755423992428923
20.408,3.7544626466198197
20.402,3.7535759841221563
20.395,3.752612192067947
20.389,3.7517230368624896
20.382,3.7507568943382688
20.376,3.74986534127641
20.369,3.748896937086024
20.363,3.7480030767274592
20.357,3.7471080713045617
20.35,3.746136440268125
20.344,3.7452392889402284
20.338,3.7443410645303614
20.332,3.7434417855098543
20.325,3.742466142779956
20.319,3.7415648622087843
20.313,3.740662582813041
20.307,3.739759322211
20.301,3.738855100573048
20.294,3.7378748370622947
20.288,3.736968800330031
20.282,3.736061857481396
20.276,3.735154025708091
20.27,3.7342453214740603
20.264,3.7333357622270893
20.258,3.7324253650654633
20.252,3.7315141451867757
20.246,3.7306021184288034
20.24,3.7296892893064895
20.234,3.728775674391913
20.228,3.7278612930365433
20.222,3.7269461622840305
20.216,3.7260302984825953
20.211,3.7251882051605225
20.205,3.7242708870528958
20.199,3.723352885733094
20.193,3.7224342180806236
20.187,3.721514916976619
20.182,3.7206692711331417
20.176,3.7197487132622555
20.17,3.7188275627947376
20.164,3.717905832061564
20.159,3.7170576387989414
20.153,3.716134750078978
20.147,3.715211318688744
20.142,3.7143613373073308
20.136,3.713436823712265
20.13,3.7125118029542334
20.125,3.7116601482257394
20.119,3.710734118643379
20.114,3.709881394851629
20.108,3.708954405893619
20.103,3.708100663835741
20.097,3.707172764271522
20.092,3.7063180541327956
20.086,3.705389289822112
20.081,3.704533649566833
20.075,3.703604047206746
20.07,3.702747516552629
20.064,3.7018171255067944
20.059,3.7009597562062804
20.054,3.700101961532949
20.048,3.6991704655032245
20.043,3.6983119052583637
20.038,3.6974529566870307
20.032,3.696520467372342
20.027,3.6956608590289752
20.022,3.6948009199191563
20.017,3.6939406582977408
20.011,3.6930070652447107
20.006,3.69214622904799
20.001,3.6912850969049296
19.996,3.690423677474749
19.991,3.689561980720129
19.985,3.6886271861020616
19.98,3.6877649973339244
19.975,3.6869025494074914
19.97,3.686039852706466
19.965,3.685176917021088
19.96,3.6843137515056705
19.955,3.683450365617586
19.95,3.682586768695367
19.945,3.6817229697314606
19.94,3.680858977730059
19.935,3.6799948013438537
19.93,3.6791304447694695
19.925,3.678265914328532
19.92,3.6774012192819603
19.915,3.676536368734779
19.91,3.675671371600533
19.905,3.67480623640933
19.9,3.6739409714414797
19.895,3.673075585100205
19.89,3.6722100853662516
19.885,3.671344480933233
19.88,3.6704787960393004
19.876,3.6696850840826984
19.871,3.668819247096256
19.866,3.667953357127142
19.861,3.667087419669731
19.856,3.6662214404831075
19.852,3.6654272881154477
19.847,3.6645612141687645
19.842,3.6636951163349827
19.837,3.6628290004272666
19.833,3.662034592009395
19.828,3.6611684075834985
19.823,3.6603022088925163
19.819,3.6595076260825103
19.814,3.65864139362018
19.809,3.657775167848048
19.805,3.6569804789254508
19.8,3.6561142604454417
19.795,3.655248067216082
19.791,3.654453335074982
19.786,3.653587188840055
19.782,3.6527924500593207
19.777,3.6519263838140765
19.773,3.651131668269123
19.768,3.650265705170441
19.763,3.6493998121164677
19.759,3.6486051983475933
19.754,3.6477394410284516
19.75,3.6469449094394206
19.746,3.646150406152304
19.741,3.6452848831354605
19.737,3.644490509954187
19.732,3.6436252118233
19.728,3.6428310182858996
19.723,3.6419659666365933
19.719,3.6411719678843273
19.715,3.640378052142994
19.71,3.6395133891429245
19.706,3.638719693259217
19.702,3.6379260938339746
19.697,3.6370618547701503
19.693,3.636268497793356
19.689,3.6354752295378496
19.684,3.634611402738781
19.68,3.6338183626990546
19.676,3.6330254258726535
19.671,3.6321620370173275
19.667,3.6313693620576757
19.663,3.6305768078838287
19.659,3.629784379265574
19.655,3.6289920812392147
19.65,3.6281295122624817
19.646,3.6273375319027674
19.642,3.6265457173662314
19.638,3.6257540730292974
19.634,3.6249626016979284
19.629,3.6241010459080374
19.625,3.6233099637139023
19.621,3.622519064935814
19.617,3.6217283527181703
19.613,3.6209378306283106
19.609,3.62014750222175
19.605,3.6193573713211302
19.601,3.61856744365926
19.597,3.617777725835732
19.593,3.6169882219905367
19.589,3.6161989345683
19.585,3.6154098666159364
19.581,3.6146210216017476
19.577,3.613832402452968
19.573,3.6130440124077667
19.569,3.612255854180853
19.565,3.6114679305342205
19.561,3.6106802451761175
19.557,3.6098927955328484
19.553,3.609105571011658
19.549,3.608318574731746
19.545,3.60753181206302
19.541,3.6067452859018094
19.537,3.6059590000974437
19.533,3.6051729590545425
19.529,3.604387165749923
19.525,3.603601623856575
19.522,3.602885828100232
