M,R
7.597,0.059008678071064725
11.237,0.21418089226750311
12.749,0.34020710030944656
13.6,0.44147389948029475
14.15,0.5257372072846428
14.531,0.5972957765826533
14.814,0.6602593693914252
15.031,0.7162493790272807
15.204,0.7672591107548697
15.343,0.8137847011755737
15.46,0.8572641486804334
15.559,0.8978902404605033
15.643,0.9361139468288856
15.717,0.9725413513900895
15.782,1.0071623971728003
15.839,1.0403067341497991
15.891,1.0722729437499465
15.937,1.1029167923262593
15.979,1.1325993238745158
16.018,1.1614292270791273
16.053,1.1892701311639213
16.086,1.2164134850188595
16.116,1.2428057987239014
16.144,1.2685144049359558
16.17,1.2935585845853494
16.195,1.3181147514962064
16.218,1.3420682792528476
16.239,1.3654050740208932
16.26,1.3883745407588297
16.279,1.4107986822579524
16.297,1.4327648475587775
16.315,1.45437139407422
16.331,1.475463688655896
16.346,1.4961438877036435
16.361,1.5165058854052014
16.375,1.5364524386691116
16.389,1.5561158417817198
16.401,1.5752950460075612
16.413,1.5941881160166098
16.425,1.612797931985731
16.436,1.6310475869617616
16.446,1.6489387112403826
16.456,1.6665711972388515
16.466,1.683946120918254
16.475,1.7009796579286987
16.484,1.7177780366996989
16.492,1.7342391475999852
16.5,1.7504651224486338
16.507,1.7663644063891941
16.515,1.7821496484471955
16.521,1.7975147181774767
16.528,1.8127671889158212
16.534,1.8277061903565655
16.54,1.8424447882444537
16.545,1.856882272191635
16.551,1.8712250252864526
16.556,1.8852692074445423
16.561,1.899124708491005
16.565,1.9126940257347556
16.569,1.926081319783802
16.573,1.9392881410491314
16.577,1.9523168781188411
16.581,1.9651746246548591
16.584,1.9777609787506698
16.587,1.9901805534966364
16.59,2.0024350302419447
16.593,2.0145274257379397
16.595,2.0263601406756555
16.598,2.0381415458180965
16.6,2.0496668058089935
16.602,2.0610408580607387
16.604,2.072266800429001
16.606,2.0833490598056597
16.607,2.0941859983502744
16.608,2.1048825940130214
16.61,2.115543938102756
16.611,2.1259659850415287
16.612,2.136255836319913
16.612,2.146311706862437
16.613,2.1563420781229476
16.614,2.1662450991705042
16.614,2.1759195704476557
16.614,2.1854722064824794
16.614,2.1949046392236102
16.615,2.2043218587285467
16.614,2.2134149770914213
16.614,2.2224961631892524
16.614,2.2314648243092896
16.614,2.2403226160659844
16.613,2.2489675389648625
16.612,2.2575044528174204
16.612,2.266038252971505
16.611,2.27436443731919
16.61,2.282588244778851
16.609,2.2907110219145665
16.608,2.2987340933083775
16.607,2.3066587701060026
16.606,2.3144867483111615
16.604,2.3221167555549065
16.603,2.3297567440105977
16.601,2.3372012903666306
16.6,2.344658239251746
16.598,2.351922247268626
16.597,2.3592017536834384
16.595,2.366291686638714
16.593,2.3732964351015804
16.591,2.3802171232385385
16.589,2.3870548614312344
16.587,2.393810920323191
16.585,2.4004869154836115
16.583,2.4070839456872157
16.581,2.4136030462375024
16.578,2.4199422409785303
16.576,2.4263085785418803
16.574,2.4326002387514585
16.571,2.438715565477319
16.569,2.44486138067391
16.566,2.4508328306458114
16.564,2.4568365864734405
16.561,2.462667904566592
16.558,2.468430792071579
16.556,2.4742290385556944
16.553,2.479858045955165
16.55,2.4854214255112077
16.547,2.490920029581438
16.544,2.4963547066452576
16.541,2.5017265935326867
16.538,2.5070366579031167
16.535,2.512285699744939
16.532,2.5174745028531724
16.529,2.5226038374968263
16.526,2.527674469194521
16.523,2.5326873831666226
16.52,2.537643448936455
16.517,2.542543392095316
16.513,2.5472857308411827
16.51,2.552075605989549
16.507,2.5568114565901854
16.503,2.561391962413494
16.5,2.5660220824621383
16.497,2.5706003339121666
16.493,2.5750254250770794
16.49,2.5795019408979925
16.486,2.5838266397573384
16.483,2.5882039794116616
16.479,2.5924309751256023
16.476,2.5967118534466023
16.472,2.6008436786900657
16.469,2.605030465384759
16.465,2.6090694556351735
16.461,2.613062914812465
16.458,2.6171131487733463
16.454,2.6210176752374763
16.45,2.6248785900261393
16.447,2.628797816506914
16.443,2.6325730701560084
16.439,2.6363062833581505
16.435,2.6399980304774786
16.432,2.6437500972415484
16.428,2.6473605398667472
16.424,2.6509310766727543
16.42,2.6544621847102325
16.416,2.6579543352972563
16.413,2.6615089470752706
16.409,2.6649245274507303
16.405,2.6683025196263177
16.401,2.671643367174381
16.397,2.6749475068587913
16.393,2.6782153694865127
16.389,2.6814473792130604
16.385,2.6846439938872297
16.381,2.6878057383053866
16.377,2.6909330283255226
16.373,2.694026265156402
16.369,2.697085843444175
16.365,2.700112152850212
16.361,2.703105576020507
16.357,2.70606655967076
16.353,2.7089955679761473
16.349,2.7118929703125243
16.345,2.7147591301139773
16.341,2.7175944010145083
16.337,2.7203991357226363
16.333,2.72317367698635
16.329,2.725918344678479
16.325,2.7286334547813564
16.321,2.731319337338262
16.317,2.7339763180747125
16.312,2.7365050037029115
16.308,2.73910520004241
16.304,2.741677447077033
16.3,2.744222093303004
16.296,2.746739476794375
16.292,2.7492299002630087
16.288,2.7516936609303007
16.284,2.7541310505142773
16.279,2.7564430549348686
16.275,2.7588286299055502
16.271,2.761188752195791
16.267,2.763523780631943
16.263,2.765833992887361
16.259,2.7681196587920454
16.254,2.770282045564392
16.25,2.772519479906746
16.246,2.774733154028883
16.242,2.776923309637997
16.238,2.779090158618079
16.233,2.7811351914064626
16.229,2.783256224987633
16.225,2.7853546810831737
16.221,2.787430795803925
16.217,2.789484805580363
16.213,2.791516944882932
16.208,2.7934290436342404
16.204,2.795418271131337
16.2,2.797386347760114
16.196,2.79933349817908
16.192,2.8012599384092836
16.187,2.803067706356661
16.183,2.8049534382019665
16.179,2.8068191478997364
16.175,2.8086651078169824
16.171,2.8104915248109497
16.166,2.812200680542129
16.162,2.813988685517086
16.158,2.81575774655576
16.154,2.8175080560103813
16.149,2.819142067409082
16.145,2.8208554524959846
16.141,2.8225505813409155
16.137,2.8242276366487085
16.133,2.8258867974352997
16.128,2.8274307648381773
16.124,2.8290547415148035
16.12,2.8306613547325035
16.116,2.832250793996664
16.112,2.8338232680919653
16.108,2.8353789517682784
16.103,2.836820849488401
16.099,2.8383435179992187
16.095,2.8398498893065938
16.091,2.8413401265503193
16.087,2.8428143868870714
16.082,2.8441759450542277
16.078,2.8456188889528646
16.074,2.847046394190632
16.07,2.848458609652551
16.066,2.8498556880265857
16.062,2.8512377754313727
16.057,2.8525084072708355
16.053,2.853861014025131
16.049,2.855199019872197
16.045,2.856522536168241
16.041,2.857831696559511
16.037,2.859126638703038
16.032,2.860311180628809
16.028,2.861578150791917
16.024,2.862831302495065
16.02,2.8640707653926167
16.016,2.865296719415291
16.012,2.8665093291219153
16.008,2.867708723365382
16.003,2.86879905833207
15.999,2.8699724620849296
15.995,2.8711330244939663
15.991,2.872280865457635
15.987,2.873416106486977
15.983,2.8745388637500437
15.979,2.875649255347492
15.975,2.876747396509797
15.971,2.877833400121485
15.967,2.8789073803631866
15.962,2.879873974445258
15.958,2.880924292999402
15.954,2.8819629159268194
15.95,2.882989941280769
15.946,2.884005451870071
15.942,2.8850095508549445
15.938,2.886002341242808
15.934,2.886983923680437
15.93,2.887954400486098
15.926,2.8889138709311313
15.922,2.8898624355638183
15.918,2.8908001994084205
15.914,2.8917273209402734
15.91,2.8926439163584803
15.906,2.893550081711244
15.902,2.8944459145854573
15.897,2.8952368065367593
15.893,2.896112303993314
15.889,2.8969777442024918
15.885,2.8978332197677936
15.881,2.8986787934383207
15.877,2.899514521052549
15.873,2.900340488056597
15.869,2.901156776184806
15.865,2.901963472005365
15.861,2.902760657259591
15.857,2.903548415615282
15.853,2.9043268289004187
15.85,2.905190113200203
15.846,2.905950068118646
15.842,2.906700958663715
15.838,2.9074428654260367
15.834,2.9081758673681093
15.83,2.9089000425943063
15.826,2.9096154665197265
15.822,2.9103222170347887
15.818,2.9110203661273775
15.814,2.9117099961810293
15.81,2.9123911923415
15.806,2.913064031208216
15.802,2.9137285841473695
15.798,2.9143849237289525
15.794,2.91503311857672
15.791,2.9157666722635636
15.787,2.9163987516521273
15.783,2.917022893853071
15.779,2.9176391509496513
15.775,2.918247566154092
15.771,2.918848202102009
15.767,2.919441121244175
15.763,2.920026388814658
15.76,2.9206971325153432
15.756,2.9212672536939923
15.752,2.9218299122095805
15.748,2.922385167271711
15.744,2.922933112862836
15.74,2.9234738442117814
15.736,2.924007426837524
15.733,2.9246266783751733
15.729,2.925146117073995
15.725,2.925658586983793
15.721,2.926164148177377
15.717,2.926662855216288
15.714,2.927247297869911
15.71,2.927732426472723
15.706,2.9282108235923885
15.702,2.928682539432164
15.698,2.9291476255595583
15.695,2.9296984531888994
15.691,2.930150420757618
15.687,2.930595914924017
15.683,2.931034990609368
15.68,2.931559834008771
15.676,2.9319862148768454
15.672,2.932406365653072
15.668,2.9328203411536147
15.665,2.933320155638653
15.661,2.9337219149174003
15.657,2.934117648653652
15.654,2.934599222259795
15.65,2.934983035796801
15.646,2.9353609677198054
15.642,2.9357330652023563
15.639,2.9361910348713036
15.635,2.9365515822588493
15.631,2.9369064291569056
15.628,2.937347147798694
15.624,2.937690717227309
15.62,2.9380287179491353
15.617,2.938452592985989
15.613,2.9387795810340487
15.609,2.9391011309807173
15.606,2.9395085545137603
15.602,2.9398193305718254
15.598,2.940124783715502
15.595,2.9405161084950646
15.591,2.940811029494813
15.588,2.9411917958643135
15.584,2.9414763467865686
15.58,2.9417557755006065
15.577,2.942121057189457
15.573,2.942390359531875
15.57,2.942745519955539
15.566,2.943004915457465
15.562,2.943259419744931
15.559,2.943599803659552
15.555,2.9438446416009514
15.552,2.94417533815444
15.548,2.9444106609296545
15.545,2.9447318195392933
15.541,2.94495777609803
15.537,2.945179083924304
15.534,2.945486211161055
15.53,2.94569828728385
15.527,2.9459961587155012
15.523,2.9461991347106777
15.52,2.946487883744884
15.516,2.9466818932731877
15.513,2.9469616566186074
15.509,2.9471468299518584
15.506,2.9474177402152693
15.502,2.9475942350826103
15.499,2.947856495756721
15.495,2.9480245072778075
15.492,2.948278273200497
15.488,2.948437936256516
15.485,2.9486833428613686
15.481,2.9488347846615732
15.478,2.9490719598199946
15.474,2.9492153060620097
15.471,2.949444375569652
15.468,2.949669373249145
15.464,2.9498007533434016
15.461,2.950017755777453
15.457,2.950141264180461
15.454,2.9503503864376563
15.45,2.950466133820982
15.447,2.9506674864993165
15.444,2.950864955204496
15.44,2.950969275766811
15.437,2.951159145627441
15.433,2.951255997409768
15.43,2.9514384237782956
15.427,2.951617139187534
15.423,2.9517030648723015
15.42,2.951874517224049
15.417,2.9520423415576396
15.413,2.9521175886488735
15.41,2.952278314591234
15.406,2.9523465650488823
15.403,2.952500295901305
15.4,2.952650523249392
15.396,2.9527084583842464
15.393,2.952851815410434
15.39,2.952991736637878
15.386,2.953039552857724
15.383,2.953172748154879
15.38,2.9533025812362634
15.376,2.953340488567677
15.373,2.9534637393666197
15.37,2.9535836982839623
15.367,2.95370039151751
15.363,2.9537254313750383
15.36,2.953835743515145
15.357,2.953942864784875
15.353,2.9539585014997516
15.35,2.9540593796414485
15.347,2.9541571384920777
15.344,2.954251797864761
15.34,2.954255216085142
15.337,2.954343809221866
15.334,2.9544293705791236
15.331,2.954511924882171
15.327,2.95450347412305
15.324,2.9545801422674516
15.321,2.95465386911603
15.318,2.954724674557668
15.315,2.954792581611217
15.311,2.9547697846250354
15.308,2.9548320109083317
15.305,2.9548914000364466
15.302,2.954947970267622
15.299,2.9550017395798145
15.295,2.9549650789013393
15.292,2.955013347945437
15.289,2.9550588670420552
15.286,2.955101656304989
15.283,2.9551417330456133
15.28,2.9551791169136314
15.276,2.9551264031874767
15.273,2.9551585089131174
15.27,2.955187974981972
15.267,2.955214821691054
15.264,2.9552390778208304
15.261,2.9552607673411013
15.258,2.955279907229116
15.254,2.955209343255008
15.251,2.955223490866503
15.248,2.955235145159751
15.245,2.9552443247800446
15.242,2.95525104451948
15.239,2.9552553233538
15.236,2.955257178212028
15.233,2.9552566236810476
15.23,2.955253666019463
15.226,2.9551614525851257
15.223,2.955153771762318
15.22,2.95514373080351
15.217,2.9551313433880804
15.214,2.9551166252986634
15.211,2.9550995937986424
15.208,2.955080261978164
15.205,2.9550586460571546
15.202,2.9550347592352346
15.199,2.9550086234464024
15.196,2.954980266780837
15.193,2.9549497062170196
15.19,2.9549169609219184
15.187,2.954882044599696
15.184,2.954844975261654
15.181,2.9548057647600694
15.178,2.9547644314862023
15.175,2.954720989680428
15.172,2.954675452528638
15.169,2.9546278367569645
15.166,2.9545781517551246
15.163,2.9545263991167316
15.16,2.9544725892707917
15.157,2.954416735293698
15.154,2.9543588493370225
15.151,2.954298943701744
15.148,2.9542370305819725
15.145,2.954173123165356
15.142,2.9541072341071044
15.139,2.9540393754717487
15.136,2.9539695612021255
15.133,2.953897802397379
15.13,2.9538241292328062
15.127,2.9537485570113633
15.124,2.9536711005090615
15.121,2.9535917752679115
15.118,2.953510590790238
15.116,2.9535131765703584
15.113,2.9534282943539703
15.11,2.953341595406806
15.107,2.9532530894780886
15.104,2.953162790676139
15.101,2.9530707101005813
15.098,2.9529768524690474
15.095,2.952881219070129
15.092,2.952783821672509
15.09,2.9527699787926704
15.087,2.9526690646139215
15.084,2.9525664138806644
15.081,2.9524620422233365
15.078,2.9523559573974723
15.075,2.9522481710718087
15.072,2.9521386926025923
15.069,2.952027534003857
15.067,2.9519997721823334
15.064,2.951885285195373
15.061,2.951769169614436
15.058,2.9516514335143493
15.055,2.951532091395889
15.052,2.9514111531307803
15.05,2.9513735009544417
15.047,2.9512493908918676
15.044,2.951123717261776
15.041,2.9509964917809506
15.038,2.9508677225822266
15.036,2.9508221305155455
15.033,2.9506902886679716
15.03,2.9505569213466747
15.027,2.9504220358594204
15.024,2.9502856382657514
15.022,2.950232297458582
15.019,2.9500928984803765
15.016,2.949952017815151
15.013,2.9498096573547223
15.011,2.9497502578727874
15.008,2.9496049687750006
15.005,2.9494582322544587
15.002,2.9493100556802103
15.0,2.9492447573187097
14.997,2.949093749544318
14.994,2.9489413452298745
14.991,2.9487875514687145
14.989,2.9487165609790846
14.986,2.948560020666653
14.983,2.948402121169686
14.98,2.9482428712358515
14.978,2.948166349200631
14.975,2.9480044262091516
14.972,2.9478411804286506
14.97,2.947760578908185
14.967,2.947594700164083
14.964,2.9474275088584876
14.961,2.9472590147770714
14.959,2.9471730881206977
14.956,2.94700200899689
14.953,2.946829647594872
14.951,2.946739780421332
14.948,2.9465648796038963
14.945,2.946388717111003
14.943,2.9462949823641384
14.94,2.946116324755904
14.937,2.945936433096593
14.935,2.9458389099359636
14.932,2.9456565924089007
14.929,2.9454730701170297
14.927,2.9453718620258336
14.924,2.9451859679776087
14.922,2.9450823151168124
14.919,2.9448940806344424
14.916,2.944704683131344
14.914,2.944597473367837
14.911,2.944405783322133
14.908,2.944212953136386
14.906,2.9441022576482365
14.903,2.9439071682909304
14.901,2.9437941378857118
14.898,2.9435968081615393
14.895,2.943398358847633
14.893,2.9432819212774324
14.89,2.943081267578816
14.888,2.9429625576905076
14.885,2.9427597244575856
14.882,2.942555800849343
14.88,2.942433782912449
14.877,2.942227716572131
14.875,2.942103495851837
14.872,2.9418953214641186
14.87,2.9417689389048527
14.867,2.941558691586444
14.864,2.9413474101967356
14.862,2.9412178959066084
14.859,2.941004586600305
14.857,2.94087299198489
14.854,2.9406576825499666
14.852,2.9405240350385378
14.849,2.9403067516762573
14.847,2.9401710788789845
14.844,2.9399518491680476
14.842,2.939814175218634
14.839,2.939593011262622
14.837,2.9394533487842023
14.834,2.9392302680929356
14.832,2.9390886386733777
14.829,2.9388636593749573
14.827,2.9387200863887246
14.824,2.9384932294603257
14.822,2.9383477336954664
