R,M
32.457,0.1129110188186286
31.01,0.11503837431718066
29.701,0.11723945366474439
28.511,0.11951593681491864
27.426,0.12186932457859415
26.434,0.12430045514399131
25.525,0.12681070929384744
24.689,0.1294006971170811
23.92,0.13207087937656764
23.21,0.1348223303796848
22.553,0.1376563397821546
21.944,0.14057405994734892
21.379,0.14357727927840988
20.854,0.14666771970847187
20.364,0.14984666636938643
19.908,0.15311598105493107
19.481,0.15647762808191362
19.082,0.1599333289604222
18.708,0.16348473428666288
18.357,0.1671338835390318
18.028,0.1708828154877618
17.719,0.17473336623761868
17.428,0.17868736844143757
17.154,0.18274699752811036
16.896,0.18691442802590708
16.652,0.19119175632248128
16.423,0.1955808444469408
16.206,0.2000837861337631
16.001,0.20470275961796025
15.808,0.209439935753621
15.624,0.2142974739456389
15.451,0.21927742681009108
15.287,0.22438183760448113
15.132,0.2296128819272649
14.985,0.23497272890915558
14.846,0.24046355287146864
14.714,0.24608748394302085
14.589,0.25184664538581053
14.47,0.2577431384971398
14.358,0.2637790351733404
14.251,0.2699563811235414
14.15,0.27627723264367215
14.054,0.28274361903612993
13.963,0.2893575618983673
13.877,0.2961210761031019
13.795,0.30303613644878413
13.718,0.31010468211208486
13.644,0.31732861174397
13.575,0.3247102247794684
13.509,0.33225184817673215
13.446,0.33994748821578236
13.387,0.34779114840793757
13.331,0.3558307486125554
13.277,0.36412130966783846
13.226,0.37263662191783237
13.195,0.3773268081195307
13.161,0.3819049316956662
13.124,0.38670571126401837
13.086,0.39171280401876646
13.046,0.3968947376714593
13.006,0.4022601670433964
12.965,0.4078082937566505
12.923,0.4135387041024401
12.881,0.4194515753703612
12.839,0.42556460912991795
12.798,0.4318724772067431
12.756,0.43837568288515194
12.715,0.44507579212405113
12.674,0.45197802938615694
12.633,0.45909998919916195
12.593,0.46641814206633736
12.554,0.47396155277772434
12.515,0.4817018280353513
12.478,0.4896737775835859
12.44,0.4978663721782297
12.404,0.5062758310959511
12.369,0.5149138025183156
12.334,0.5237833773735128
12.3,0.5328652169412024
12.268,0.5421992086192693
12.236,0.5517481594555828
12.205,0.5615423152659585
12.175,0.5715676439269435
12.146,0.5818433487999114
12.118,0.5923368099520018
12.091,0.6030658951494585
12.065,0.6140312569252471
12.04,0.6252334937994704
12.016,0.6366561046788679
11.992,0.6483080229149548
11.97,0.6601978658893348
11.949,0.6723172043931682
11.928,0.684665989514475
11.908,0.6972357979819158
11.889,0.7100264744322706
11.871,0.7230539992075597
11.853,0.7362935830980969
11.836,0.7497529745047089
11.82,0.7634395649153178
11.804,0.7773367985667874
11.789,0.7914597086377682
11.775,0.8057996009229305
11.761,0.820347976366604
11.748,0.835111602039849
11.736,0.8500893253373951
11.724,0.8652799172967848
11.712,0.8806746892039983
11.701,0.8962797149868363
11.69,0.9120862299993819
11.68,0.9280998698161951
11.67,0.944311737963112
11.66,0.9607200275485884
11.651,0.9773227054499952
11.642,0.9941244193196876
11.633,1.0111225660433731
11.625,1.028307628942342
11.617,1.0456701870736187
11.609,1.0632203375089626
11.601,1.08094168300693
11.594,1.0988496591563763
11.587,1.1169210991722418
11.58,1.1351518117633563
11.573,1.1535553108138272
11.566,1.1721078969677723
11.56,1.1908099217695938
11.553,1.2096551377507727
11.547,1.2286367996334286
11.54,1.2477530477266903
11.534,1.266978917586108
11.528,1.2863226134277699
11.521,1.3057744001277711
11.515,1.32530770892073
11.509,1.3449277446332228
11.503,1.3646223024878246
11.496,1.3843629621352638
11.49,1.404151403964987
11.483,1.4239725421740204
11.476,1.4438004805910478
11.47,1.463627962903247
11.463,1.4834274436219808
11.456,1.5031938892727181
11.448,1.5228927828052217
11.441,1.5425120377389498
11.433,1.562026725537882
11.425,1.5814111183202468
11.416,1.6006472662317768
11.407,1.619698981425193
11.398,1.6385529647103292
11.389,1.657182119578642
11.379,1.6755468898182757
11.368,1.6936280683342773
11.357,1.7114019469549286
11.346,1.7288331138627737
11.333,1.7458986754177148
11.321,1.7625798315808847
11.308,1.7788362894953158
11.294,1.7946588760368405
11.279,1.8100179702020083
11.264,1.8248931424433834
11.248,1.83926967519778
11.232,1.8531249443963493
11.215,1.866452988309406
11.197,1.8792437013942866
11.178,1.891485380851186
11.158,1.9031795790340476
11.138,1.9143216315825986
11.117,1.9249170815123269
11.095,1.9349735582575247
11.073,1.9445026402288308
11.05,1.953519768659503
11.026,1.9620445398313506
11.001,1.9700963353438972
10.976,1.9776895409244382
10.95,1.984835538014561
10.923,1.991539435265699
10.896,1.9978079309866839
10.868,2.0036481579170533
10.84,2.009064410202672
10.811,2.014068909314556
10.782,2.01866043208627
10.752,2.0228537561999342
10.721,2.0266505625895554
10.69,2.030057845547921
10.659,2.033085127886413
10.627,2.0357394042248464
10.595,2.0380204462509743
10.562,2.0399428171764193
10.529,2.041513655674622
10.496,2.0427331442115664
10.462,2.0436156683537003
10.429,2.0441662412825385
10.394,2.0443911325220743
10.36,2.0442988633833803
10.325,2.0438935503477955
10.29,2.0431838639929745
10.255,2.042179454829247
10.219,2.0408877526750877
10.184,2.039314090990506
10.148,2.037464940771556
10.112,2.0353508798394495
