R,M
73.837,0.12260510217052331
68.841,0.12265612702150365
64.311,0.12292144003877128
60.204,0.1233746655898856
56.481,0.12399454556031625
53.098,0.12476623445124221
50.026,0.12567382452911574
47.23,0.12671182123214506
44.681,0.12786963472076204
42.355,0.12914260078363435
40.228,0.1305270706695026
38.281,0.13201856615568852
36.495,0.13361475684453228
34.853,0.13531574522846251
33.344,0.1371166755394224
31.953,0.13902089679842888
30.669,0.14102601704427684
29.483,0.1431323167043967
28.384,0.14533888772931547
27.367,0.14764877618262495
26.422,0.1500606844395713
25.545,0.15257563241951072
24.728,0.15519484989420151
23.967,0.15792058727313832
23.258,0.16075276668034336
22.596,0.16369304019964928
21.978,0.16674334642250876
21.399,0.16990584024681282
20.857,0.17318018354432238
20.349,0.1765692440247392
19.873,0.18007492680121154
19.426,0.18369976753422373
19.006,0.18744501338074174
18.611,0.19131192850884005
18.239,0.1953036244576496
17.889,0.19942123602459452
17.56,0.2036677379412554
17.249,0.20804582161906104
16.956,0.2125575716820509
16.68,0.2172035163519818
16.419,0.22198789182711579
16.172,0.22691264622952623
15.939,0.23197918598372272
15.719,0.2371921243691794
15.511,0.24255058488904607
15.314,0.24805978312882923
15.128,0.25372154886470294
14.952,0.25953828467426704
14.785,0.26551098449272176
14.627,0.271644349831556
14.478,0.2779393799385759
14.336,0.2843998646617474
14.202,0.2910263589117461
14.075,0.29782362476637203
13.955,0.30479137658491334
13.841,0.3119341914763184
13.733,0.31925408489926127
13.631,0.32675172739198516
13.534,0.33443137504276993
13.442,0.34229327589201847
13.356,0.3503425629832787
13.274,0.3585786438898709
13.196,0.3670040707702126
13.123,0.3756211644673588
13.053,0.3844317623180537
12.988,0.3934387575976216
12.926,0.4026410927588639
12.867,0.4120432082979748
12.812,0.4216445905640407
12.76,0.4314473478274093
12.71,0.4414526636305107
12.664,0.4516610864099966
12.62,0.46207561103086825
12.579,0.47269477917809216
12.54,0.4835194371558163
12.503,0.49455209750053836
12.469,0.505791227463117
12.437,0.517237002727124
12.406,0.5288906739260676
12.378,0.5407508984047196
12.351,0.5528175488347333
12.326,0.5650907481470138
12.303,0.5775695672147534
12.281,0.5902518174940314
12.26,0.6031376630698125
12.241,0.6162255426860818
12.223,0.6295130664990334
12.207,0.6429988481195275
12.191,0.656681069200938
12.177,0.670556416422445
12.163,0.6846237868114334
12.151,0.698878348403518
12.139,0.7133190253072057
12.128,0.7279415017950381
12.118,0.7427418858039309
12.109,0.7577173219543417
12.1,0.7728627940755985
12.092,0.7881743687098415
12.084,0.8036478139930178
12.077,0.8192773021989747
12.07,0.8350587198881715
12.064,0.8509863727348311
12.058,0.8670546445554287
12.052,0.8832573629235386
12.046,0.8995887443749391
12.041,0.9160430250062888
12.036,0.9326127633413713
12.031,0.9492911799971505
12.026,0.966072107846473
12.022,0.9829475108889257
12.017,0.9999105002908049
12.012,1.0169534762823085
12.008,1.0340680719438686
12.003,1.051246589985405
11.998,1.068481118477405
11.993,1.0857633146242476
11.988,1.1030844346689501
11.983,1.12043609675852
11.977,1.1378092651757776
11.972,1.1551954516995406
11.966,1.172585449493817
11.96,1.1899703844205436
11.953,1.2073408005930786
11.946,1.2246877757549397
11.939,1.2420021442955345
11.932,1.2592740825319142
11.924,1.2764950125563728
11.916,1.29365516253702
11.907,1.310745055712432
11.898,1.3277555257655398
11.888,1.344677419806838
11.879,1.3615010795577795
11.868,1.3782178575674613
11.857,1.3948178782311353
11.846,1.4112927727501274
11.834,1.4276330766119976
11.822,1.4438304044672756
11.809,1.4598753391572783
11.796,1.4757599309628924
11.782,1.4914752412106778
11.768,1.5070131767557802
11.753,1.5223656158912124
11.737,1.5375243474895874
11.722,1.552481941583473
11.705,1.5672303597099755
11.688,1.5817626724902638
11.67,1.596071242773999
11.652,1.6101495904621317
11.634,1.6239907263529918
11.614,1.6375883263216875
11.594,1.6509360410681782
11.574,1.6640281904640224
11.553,1.6768585800210967
11.532,1.6894221328860848
11.51,1.701713620258571
11.487,1.713728211637456
11.464,1.7254611774519892
11.441,1.7369081928509096
11.417,1.7480654390750596
11.392,1.7589288099357567
11.367,1.7694950992670382
11.341,1.7797608467859607
11.315,1.7897232956225333
11.289,1.799379967096309
11.262,1.8087284673003265
11.234,1.8177666018693934
11.206,1.826492789944938
11.177,1.8349056061681575
11.149,1.8430037677061866
11.119,1.8507862439659697
11.089,1.858252394633485
11.059,1.8654019695706576
11.028,1.872234940878878
10.997,1.8787513640679692
10.966,1.8849515481975412
10.934,1.8908361493439139
10.902,1.8964061582758014
10.87,1.9016627919180786
10.837,1.9066071536435503
10.803,1.911241004834748
10.77,1.9155661208358976
10.736,1.9195845703301921
10.702,1.9232984342575004
10.668,1.9267101850537363
10.633,1.9298224498021064
10.598,1.9326381126490304
10.563,1.935160053878936
10.527,1.9373914303904753
10.492,1.9393355580820895
10.456,1.9409959552013352
10.42,1.9423760998915778
10.383,1.9434798896541334
10.347,1.9443109763410547
10.31,1.9448736003593665
10.274,1.9451717508536266
10.237,1.9452097883081774
10.2,1.9449920077755056
10.163,1.9445227661375444
10.126,1.9438065980310355
10.088,1.9428483082611796
