R,M
27.052,0.12251663699965876
26.317,0.12449003280177123
25.631,0.12650677727748902
24.988,0.12856781939945178
24.386,0.13067428488359686
23.82,0.1328268739762366
23.288,0.13502662654818312
22.787,0.1372747715426415
22.315,0.1395721781554715
21.868,0.14191991772402504
21.446,0.14431932211103143
21.047,0.14677151591973855
20.668,0.14927753222046622
20.309,0.15183878697396605
19.968,0.1544566617303732
19.644,0.15713221992275514
19.335,0.15986689727233475
19.042,0.16266223635100077
18.762,0.1655195924696325
18.495,0.16844027569421235
18.241,0.1714259238214317
17.998,0.17447819309740958
17.766,0.17759846625867387
17.545,0.18078831449171112
17.333,0.1840494928991697
17.131,0.18738377185419414
16.937,0.1907926600220942
16.751,0.19427789313204633
16.574,0.19784135182645157
16.403,0.201484937588969
16.24,0.20521033444035444
16.084,0.2090193607616855
15.934,0.21291400953097347
15.791,0.21689629374302966
15.653,0.220968143537041
15.521,0.22513138575878433
15.394,0.22938810968835216
15.273,0.23374043483165344
15.156,0.23819049995731237
15.045,0.24274027499237735
14.937,0.24739182646353922
14.835,0.25214736339192506
14.736,0.25700911129714643
14.641,0.26197930933595953
14.551,0.26706006049697417
14.464,0.27225353058385565
14.38,0.2775620153638719
14.301,0.2829878224576283
14.224,0.2885332664263518
14.151,0.29420064473656815
14.081,0.29999213151385307
14.014,0.30591005147420597
13.949,0.3119567583198513
13.888,0.31813460609182337
13.829,0.32444594988237857
13.773,0.33089314043346746
13.72,0.3374784322494339
13.669,0.3442041224201316
13.62,0.35107255676796395
13.574,0.3580860732407636
13.53,0.36524699519890264
13.488,0.3725576317109141
13.448,0.38002027418501966
13.41,0.38763719425851473
13.374,0.3954105900613474
13.34,0.4033426691802641
13.308,0.4114356399571417
13.277,0.4196916774066531
13.249,0.4281129202735928
13.222,0.4367014689730025
13.196,0.4454593829005233
13.172,0.4543886749024056
13.15,0.4634913119298438
13.129,0.47276921325179316
13.11,0.48222424284175175
13.092,0.49185820842195155
13.075,0.5016728573114858
13.059,0.5116698665693445
13.045,0.5218508435272536
13.032,0.5322173166975721
13.02,0.5427707358161621
13.009,0.5535124658140477
13.0,0.564443784204475
12.991,0.5755658754609569
12.983,0.5868798300462535
12.977,0.5983866446032222
12.971,0.610087211979324
12.966,0.62198231787732
12.962,0.6340726303427628
12.959,0.6463586956023206
12.956,0.6588409338490555
12.955,0.671519629712672
12.954,0.6843949312029884
12.953,0.6974668454970501
12.954,0.7107352344518171
12.955,0.7241998128227719
12.957,0.7378601473328025
12.959,0.7517156515415675
12.962,0.7657656203984238
12.965,0.7800092051777263
12.969,0.7944453343815266
12.973,0.8090727554749606
12.977,0.8238900306806398
12.983,0.8388955342490118
12.988,0.8540874986287149
12.994,0.8694640384248441
13.0,0.8850229657411559
13.006,0.9007618944048563
13.013,0.9166782506042942
13.02,0.9327694255011657
13.027,0.9490325246063033
13.034,0.9654643690047624
13.042,0.9820616010016313
13.049,0.998820851663509
13.057,1.0157383441053502
13.065,1.032810052404436
13.073,1.0500319810940257
13.081,1.0673997699709035
13.089,1.084908777836194
13.097,1.1025544434042232
13.105,1.120331761146524
13.113,1.138235604467993
13.121,1.1562607854503144
13.129,1.1744016613975492
13.137,1.1926527096577024
13.145,1.2110079063109924
13.152,1.2294613224571853
13.16,1.2480065996383967
13.167,1.2666374329585368
13.174,1.2853471303691768
13.181,1.3041290760316189
13.188,1.322976257439262
13.194,1.3418817601261488
13.2,1.360838311721035
13.206,1.3798386367475441
13.212,1.3988753217309213
13.217,1.4179407122231515
13.222,1.437027172874913
13.227,1.456126916441513
13.231,1.4752319834806467
13.235,1.4943344202342055
13.239,1.5134262608965052
13.242,1.5324996347403892
13.245,1.551546680684037
13.247,1.5705594486013967
13.249,1.5895297349548314
13.251,1.608449024086741
13.252,1.6273084907812627
13.253,1.646099061569835
13.253,1.664811533437393
13.253,1.6834367801700638
13.252,1.7019658930810129
13.251,1.7203896497696245
13.249,1.738698412627388
13.247,1.7568829209916201
13.244,1.774934981964621
13.241,1.7928478830304988
13.237,1.8106164652384467
13.233,1.8282368428980125
13.228,1.8457057983226337
13.223,1.8630199228280804
13.217,1.8801757457363
13.211,1.8971759970666882
13.204,1.914022507240267
13.196,1.9307003641710014
13.188,1.9471719588466059
13.18,1.9633849603233489
13.171,1.9792729261686357
13.161,1.9947235306456619
13.151,2.0094927312610666
13.141,2.016487693457925
13.128,2.018646510095144
13.112,2.019916855540666
13.093,2.0205094891423827
13.073,2.0205712715917103
13.05,2.020155155544064
13.026,2.0193431730855247
13.0,2.018114599633432
12.974,2.016553411250151
12.946,2.014692389332832
12.917,2.012492816814048
12.887,2.0100476185757534
12.857,2.0073281617951544
12.825,2.004407011615488
12.792,2.0012587690382873
12.759,1.9979240481612002
12.725,1.9943981355715534
12.69,1.9907106221127082
12.655,1.9868643859305868
12.619,1.9828331805105266
12.582,1.978680596128603
12.545,1.9743693140066607
12.507,1.9699505477509451
12.469,1.9654386443482215
12.431,1.9607878069414273
12.392,1.9560006413607098
12.353,1.9511146262594268
12.313,1.9461220069131773
12.273,1.940966513597177
12.233,1.9358101932335603
